ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Boutter J.,Varlet J.,48,211,6,3,6,1,,,,,,,2,0,Completed,,,1.45,2.65,1.44,2.45,1.45,2.2,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Burgsmuller L.,Phau B.,113,133,7,6,6,4,,,,,,,2,0,Completed,1.615,2.2,1.5,2.45,1.55,2.2,1.5,2.1,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Canas G.,Sargsian S.,19,83,6,3,6,4,,,,,,,2,0,Completed,1.167,4.5,1.14,5.25,1.15,4.25,1.15,3.8,1.167,4.5
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,El Aynaoui Y.,Sanchez D.,17,58,1,6,6,4,6,4,,,,,2,1,Completed,1.444,2.625,1.6,2.25,1.5,2.3,1.5,2.1,1.444,2.625
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Kuerten G.,Koubek S.,13,39,6,3,6,3,,,,,,,2,0,Completed,1.2,4,1.22,4,1.22,3.5,1.2,3.3,1.2,4
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Lapentti N.,Gaudenzi A.,21,105,7,6,2,6,6,4,,,,,2,1,Completed,1.444,2.625,1.38,2.9,1.44,2.45,1.45,2.2,1.444,2.625
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Mantilla F.,Knippschild J.,50,247,6,3,6,1,,,,,,,2,0,Completed,1.25,3.5,1.33,3.15,1.3,3,1.3,2.7,1.286,3.25
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Martin A.,Schuettler R.,55,25,6,7,6,2,6,3,,,,,2,1,Completed,1.909,1.8,1.9,1.85,1.85,1.77,1.9,1.6,1.909,1.8
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Meligeni F.,Savolt A.,65,72,5,7,6,3,6,3,,,,,2,1,Completed,1.667,2.1,1.8,1.95,1.65,2,1.6,1.9,1.667,2.1
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Novak J.,Ramirez Hidalgo R.,15,169,3,6,6,0,6,2,,,,,2,1,Completed,,,1.22,4,1.21,3.65,1.2,3.3,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Pavel A.,Hrbaty D.,20,51,6,3,1,6,6,3,,,,,2,1,Completed,1.727,2,1.75,2,1.73,1.9,1.65,1.85,1.667,2.1
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Popp A.,Hernych J.,96,240,6,0,6,2,,,,,,,2,0,Completed,,,1.8,1.95,1.6,2.1,1.65,1.85,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Robredo T.,Ulihrach B.,29,63,6,4,6,2,,,,,,,2,0,Completed,1.571,2.25,1.55,2.35,1.45,2.4,1.5,2.1,1.571,2.25
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Settergren J.,Clavet F.,227,81,6,4,6,4,,,,,,,2,0,Completed,,,3.05,1.35,3,1.3,2.7,1.3,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Voinea A.,Dupuis A.,57,100,6,4,6,2,,,,,,,2,0,Completed,1.444,2.625,1.55,2.35,1.5,2.3,1.45,2.2,1.444,2.625
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,1st Round,3,Youzhny M.,Arazi H.,62,47,6,2,5,7,6,4,,,,,2,1,Completed,1.727,2,1.68,2.1,1.68,1.95,1.7,1.8,1.727,2
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,2nd Round,3,Burgsmuller L.,Kuerten G.,113,13,7,6,3,6,7,6,,,,,2,1,Completed,,,,,,,5,1.05,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,2nd Round,3,Canas G.,Mantilla F.,19,50,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.48,2.55,1.55,2.15,1.6,1.9,1.5,2.5
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,2nd Round,3,El Aynaoui Y.,Settergren J.,17,227,6,4,6,2,,,,,,,2,0,Completed,,,,,,,1.1,4.5,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,2nd Round,3,Martin A.,Voinea A.,55,57,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,2nd Round,3,Novak J.,Meligeni F.,15,65,6,0,6,2,,,,,,,2,0,Completed,,,,,,,1.4,2.3,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,2nd Round,3,Pavel A.,Boutter J.,20,48,6,2,6,1,,,,,,,2,0,Completed,1.615,2.2,1.6,2.25,1.55,2.15,1.55,2,1.615,2.2
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,2nd Round,3,Robredo T.,Popp A.,29,96,7,6,6,3,,,,,,,2,0,Completed,1.222,4,1.25,3.7,1.3,3,1.25,3,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,2nd Round,3,Youzhny M.,Lapentti N.,62,21,6,2,6,4,,,,,,,2,0,Completed,,,,,,,2.1,1.5,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,Quarterfinals,3,Burgsmuller L.,Pavel A.,113,20,3,6,6,3,6,2,,,,,2,1,Completed,3.25,1.333,2.9,1.38,2.9,1.32,2.7,1.3,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,Quarterfinals,3,Canas G.,Martin A.,19,55,1,6,6,2,7,6,,,,,2,1,Completed,1.4,2.75,1.45,2.65,1.4,2.6,1.4,2.3,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,Quarterfinals,3,Novak J.,Robredo T.,15,29,6,4,6,2,,,,,,,2,0,Completed,1.8,1.909,1.85,1.9,1.72,1.92,1.7,1.8,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,Quarterfinals,3,Youzhny M.,El Aynaoui Y.,62,17,6,3,6,2,,,,,,,2,0,Completed,2.625,1.444,2.4,1.53,2.5,1.42,2.2,1.45,,
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,Semifinals,3,Canas G.,Novak J.,19,15,6,4,6,0,,,,,,,2,0,Completed,1.8,1.909,1.8,1.95,1.74,1.86,1.85,1.65,1.667,2.1
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,Semifinals,3,Youzhny M.,Burgsmuller L.,62,113,6,3,4,6,7,5,,,,,2,1,Completed,1.4,2.75,1.38,2.9,1.4,2.6,1.4,2.3,1.364,2.75
41,Stuttgart,Mercedes Cup,15/07/02,International,Outdoor,Clay,The Final,5,Youzhny M.,Canas G.,62,19,6,3,3,6,3,6,6,4,6,4,3,2,Completed,2.75,1.4,3,1.36,2.35,1.48,2.2,1.45,,
