iter	Passed	Remaining
0	1	402
1	1	339
2	2	309
3	3	323
4	4	321
5	4	312
6	5	301
7	6	310
8	7	316
9	8	312
10	8	308
11	9	303
12	10	298
13	10	294
14	11	290
15	11	286
16	12	283
17	13	279
18	13	276
19	14	274
20	15	272
21	15	269
22	16	267
23	16	265
24	17	265
25	18	264
26	19	264
27	20	265
28	21	268
29	21	267
30	22	266
31	23	264
32	23	264
33	24	263
34	25	261
35	25	259
36	26	258
37	27	257
38	27	255
39	28	254
40	28	253
41	29	252
42	30	250
43	30	250
44	31	249
45	32	248
46	32	247
47	33	245
48	34	244
49	34	242
50	35	241
51	36	242
52	37	242
53	37	241
54	38	239
55	38	238
56	39	237
57	40	236
58	40	235
59	41	234
60	41	232
61	42	231
62	43	230
63	43	229
64	44	227
65	44	226
66	45	224
67	45	223
68	46	223
69	47	222
70	47	221
71	48	220
72	48	218
73	49	218
74	50	217
75	50	215
76	51	216
77	52	215
78	52	214
79	53	213
80	53	212
81	54	211
82	55	210
83	55	209
84	56	208
85	56	207
86	57	206
87	58	205
88	58	204
89	59	204
90	59	203
91	60	202
92	61	202
93	62	203
94	63	203
95	63	202
96	64	201
97	65	200
98	65	199
99	66	200
100	67	199
101	67	198
102	68	197
103	69	196
104	69	195
105	70	195
106	70	194
107	71	193
108	72	192
109	72	191
110	73	190
111	73	189
112	74	188
113	75	188
114	75	187
115	76	186
116	76	185
117	77	184
118	77	183
119	78	182
120	78	182
121	79	181
122	80	180
123	80	179
124	81	179
125	82	178
126	82	177
127	83	176
128	83	175
129	84	175
130	84	174
131	85	173
132	85	172
133	86	171
134	86	170
135	87	169
136	88	169
137	88	168
138	89	167
139	90	167
140	90	166
141	91	165
142	91	165
143	92	164
144	92	163
145	93	162
146	94	161
147	94	161
148	95	160
149	95	159
150	96	158
151	97	158
152	97	157
153	98	157
154	98	156
155	99	155
156	100	154
157	100	154
158	101	153
159	101	152
160	102	151
161	102	150
162	103	150
163	103	149
164	104	148
165	104	147
166	105	147
167	106	146
168	106	145
169	107	144
170	107	144
171	108	143
172	108	142
173	109	141
174	109	140
175	110	140
176	110	139
177	111	138
178	111	138
179	112	137
180	112	136
181	113	135
182	113	135
183	114	134
184	114	133
185	115	132
186	115	132
187	116	131
188	116	130
189	117	129
190	118	129
191	118	128
192	119	127
193	119	127
194	120	126
195	120	125
196	121	125
197	121	124
198	122	123
199	122	122
200	123	122
201	123	121
202	124	120
203	124	120
204	125	119
205	125	118
206	126	117
207	127	117
208	127	116
209	128	115
210	128	115
211	129	114
212	129	113
213	130	113
214	130	112
215	131	111
216	132	111
217	133	111
218	133	110
219	134	110
220	135	109
221	135	108
222	136	108
223	136	107
224	137	106
225	137	105
226	138	105
227	138	104
228	139	103
229	139	103
230	140	102
231	140	101
232	141	101
233	141	100
234	142	99
235	143	99
236	143	98
237	144	98
238	144	97
239	145	96
240	145	96
241	146	95
242	146	94
243	147	94
244	147	93
245	148	92
246	148	92
247	149	91
248	149	90
249	150	90
250	150	89
251	151	88
252	151	88
253	152	87
254	152	86
255	153	86
256	153	85
257	154	84
258	154	84
259	155	83
260	155	82
261	156	82
262	156	81
263	157	81
264	158	80
265	158	79
266	159	79
267	159	78
268	160	77
269	160	77
270	161	76
271	161	76
272	162	75
273	162	74
274	163	74
275	163	73
276	164	72
277	164	72
278	165	71
279	165	71
280	166	70
281	166	69
282	167	69
283	167	68
284	168	67
285	168	67
286	169	66
287	169	66
288	170	65
289	171	64
290	171	64
291	172	63
292	172	63
293	173	62
294	173	61
295	174	61
296	175	60
297	175	60
298	176	59
299	176	58
300	177	58
301	177	57
302	178	57
303	178	56
304	179	55
305	179	55
306	180	54
307	180	54
308	181	53
309	182	52
310	182	52
311	182	51
312	183	50
313	183	50
314	184	49
315	184	49
316	185	48
317	186	47
318	186	47
319	187	46
320	187	46
321	188	45
322	189	45
323	189	44
324	190	43
325	190	43
326	191	42
327	191	42
328	192	41
329	192	40
330	193	40
331	193	39
332	194	39
333	194	38
334	195	37
335	195	37
336	196	36
337	196	36
338	197	35
339	197	34
340	198	34
341	198	33
342	199	33
343	199	32
344	200	31
345	200	31
346	201	30
347	202	30
348	202	29
349	203	29
350	203	28
351	204	27
352	204	27
353	205	26
354	205	26
355	206	25
356	206	24
357	207	24
358	207	23
359	208	23
360	208	22
361	209	21
362	209	21
363	210	20
364	210	20
365	211	19
366	212	19
367	212	18
368	213	17
369	213	17
370	214	16
371	214	16
372	215	15
373	215	14
374	216	14
375	216	13
376	217	13
377	217	12
378	218	12
379	219	11
380	219	10
381	220	10
382	220	9
383	221	9
384	221	8
385	222	8
386	222	7
387	223	6
388	223	6
389	224	5
390	224	5
391	225	4
392	225	4
393	226	3
394	226	2
395	227	2
396	227	1
397	228	1
398	228	0
399	229	0
